partei_id;Name;Vorname;vote
GRÜNE;Hajduk;Anja;2
GRÜNE;Haßelmann;Britta;2
GRÜNE;Hoffmann;Bettina;2
GRÜNE;Hofreiter;Anton;2
GRÜNE;Holtz;Ottmar;2
GRÜNE;Janecek;Dieter;4
GRÜNE;Kappert-Gonther;Kirsten;2
GRÜNE;Kekeritz;Uwe;2
GRÜNE;Keul;Katja;2
GRÜNE;Kindler;Sven-Christian;4
GRÜNE;Klein-Schmeink;Maria;2
GRÜNE;Kotting-Uhl;Sylvia;2
GRÜNE;Krischer;Oliver;2
GRÜNE;Kühn;Stephan;2
GRÜNE;Kühn;Christian;2
GRÜNE;Künast;Renate;2
GRÜNE;Kurth;Markus;2
GRÜNE;Lazar;Monika;2
GRÜNE;Lehmann;Sven;2
GRÜNE;Lemke;Steffi;2
GRÜNE;Lindner;Tobias;2
GRÜNE;Mihalic;Irene;2
GRÜNE;Müller;Claudia;4
GRÜNE;Müller-Gemmeke;Beate;2
GRÜNE;Nestle;Ingrid;2
GRÜNE;Notz;Konstantin;2
GRÜNE;Nouripour;Omid;2
GRÜNE;Ostendorff;Friedrich;2
GRÜNE;Özdemir;Cem;2
GRÜNE;Paus;Lisa;2
GRÜNE;Polat;Filiz;2
GRÜNE;Rößner;Tabea;2
GRÜNE;Roth;Claudia;2
GRÜNE;Rottmann;Manuela;2
GRÜNE;Rüffer;Corinna;2
GRÜNE;Sarrazin;Manuel;4
GRÜNE;Schauws;Ulle;2
GRÜNE;Schmidt;Frithjof;4
GRÜNE;Schmidt;Stefan;2
GRÜNE;Schneidewind-Hartnagel;Charlotte;2
GRÜNE;Schulz-Asche;Kordula;2
GRÜNE;Strengmann-Kuhn;Wolfgang;2
GRÜNE;Stumpp;Margit;2
GRÜNE;Tressel;Markus;2
GRÜNE;Trittin;Jürgen;2
GRÜNE;Verlinden;Julia;2
GRÜNE;Wagner;Daniela;2
GRÜNE;Walter-Rosenheimer;Beate;4
GRÜNE;Zickenheiner;Gerhard;4
fraktionslos;Bülow;Marco;4
fraktionslos;Herrmann;Lars;1
fraktionslos;Kamann;Uwe;4
fraktionslos;Mieruch;Mario;2
fraktionslos;Petry;Frauke;4
